resultado;entrada;computacao;entrada_saida;usuario;sistema
129;5;1842.00000;179.00000;1842.00000;0.00000
72;182;158078.00000;156776.00000;154127.00000;3951.00000
12;99;6784.00000;5198.00000;3392.00000;3392.00000
44;104;7698.00000;6026.00000;7698.00000;0.00000
9;9;1903.00000;197.00000;1903.00000;0.00000
100;60;2472.00000;481.00000;2472.00000;0.00000
49;52;2014.00000;309.00000;0.00000;2014.00000
193;3;1687.00000;169.00000;1687.00000;0.00000
1;39;1620.00000;213.00000;1620.00000;0.00000
1;90;4985.00000;3086.00000;4985.00000;0.00000
1;60;2203.00000;394.00000;0.00000;2203.00000
19;12;439.00000;41.00000;439.00000;0.00000
1;225;915193.00000;913690.00000;911197.00000;3996.00000
27;8;1817.00000;172.00000;1817.00000;0.00000
1;52;2157.00000;334.00000;2157.00000;0.00000
11;16;2122.00000;204.00000;0.00000;2122.00000
19;4;1908.00000;175.00000;1908.00000;0.00000
1;30;1726.00000;192.00000;1726.00000;0.00000
26;15;1858.00000;166.00000;1858.00000;0.00000
10;112;10819.00000;9104.00000;7213.00000;3606.00000
16;120;21576.00000;20080.00000;21576.00000;0.00000
77;30;421.00000;45.00000;421.00000;0.00000
47;195;237750.00000;237368.00000;237750.00000;0.00000
1;88;1198.00000;745.00000;1198.00000;0.00000
1;108;2337.00000;1946.00000;2337.00000;0.00000
1;48;719.00000;108.00000;719.00000;0.00000
1;12;1456.00000;165.00000;0.00000;1456.00000
1;70;545.00000;183.00000;545.00000;0.00000
130;6;2146.00000;215.00000;0.00000;2146.00000
184;12;1874.00000;211.00000;0.00000;1874.00000
146;100;7573.00000;5956.00000;7573.00000;0.00000
52;56;1844.00000;279.00000;1844.00000;0.00000
40;72;2387.00000;930.00000;2387.00000;0.00000
1;42;1808.00000;229.00000;0.00000;1808.00000
23;14;2030.00000;186.00000;2030.00000;0.00000
1;35;1831.00000;215.00000;1831.00000;0.00000
33;112;11738.00000;10201.00000;11738.00000;0.00000
10;52;403.00000;66.00000;0.00000;403.00000
64;104;7616.00000;5995.00000;7616.00000;0.00000
78;130;31516.00000;30380.00000;31516.00000;0.00000
1;8;1713.00000;177.00000;1713.00000;0.00000
11;15;935.00000;105.00000;935.00000;0.00000
87;44;519.00000;60.00000;519.00000;0.00000
1;40;1662.00000;220.00000;0.00000;1662.00000
1;9;1866.00000;177.00000;0.00000;1866.00000
99;20;1917.00000;212.00000;1917.00000;0.00000
308;8;2153.00000;203.00000;0.00000;2153.00000
58;80;2899.00000;1432.00000;2899.00000;0.00000
97;168;96386.00000;94592.00000;96386.00000;0.00000
1;70;2301.00000;614.00000;2301.00000;0.00000
