resultado;entrada;computacao;entrada_saida;usuario;sistema
129;5;2055.00000;206.00000;0.00000;2055.00000
72;182;2056.00000;331.00000;2056.00000;0.00000
12;99;1838.00000;247.00000;1838.00000;0.00000
44;104;2167.00000;278.00000;2167.00000;0.00000
9;9;2086.00000;248.00000;2086.00000;0.00000
100;60;1798.00000;220.00000;0.00000;1798.00000
49;52;2014.00000;242.00000;2014.00000;0.00000
193;3;1860.00000;190.00000;1860.00000;0.00000
1;39;1746.00000;201.00000;1746.00000;0.00000
1;90;2324.00000;283.00000;0.00000;2324.00000
1;60;2540.00000;259.00000;0.00000;2540.00000
19;12;528.00000;51.00000;528.00000;0.00000
1;225;2079.00000;392.00000;0.00000;2079.00000
27;8;1989.00000;204.00000;1989.00000;0.00000
1;52;2143.00000;264.00000;0.00000;2143.00000
11;16;1992.00000;212.00000;1992.00000;0.00000
19;4;2134.00000;214.00000;0.00000;2134.00000
1;30;1834.00000;205.00000;0.00000;1834.00000
26;15;1951.00000;203.00000;1951.00000;0.00000
10;112;1912.00000;266.00000;1912.00000;0.00000
16;120;1916.00000;304.00000;0.00000;1916.00000
77;30;456.00000;49.00000;456.00000;0.00000
47;195;699.00000;113.00000;699.00000;0.00000
1;88;590.00000;74.00000;590.00000;0.00000
1;108;475.00000;62.00000;475.00000;0.00000
1;48;812.00000;90.00000;812.00000;0.00000
1;12;1647.00000;155.00000;1647.00000;0.00000
1;70;497.00000;55.00000;497.00000;0.00000
130;6;2206.00000;211.00000;2206.00000;0.00000
184;12;1873.00000;197.00000;0.00000;1873.00000
146;100;1787.00000;243.00000;1787.00000;0.00000
52;56;1844.00000;208.00000;0.00000;1844.00000
40;72;1883.00000;217.00000;0.00000;1883.00000
1;42;1667.00000;206.00000;1667.00000;0.00000
23;14;1702.00000;177.00000;1702.00000;0.00000
1;35;1745.00000;191.00000;1745.00000;0.00000
33;112;1969.00000;262.00000;1969.00000;0.00000
10;52;499.00000;53.00000;499.00000;0.00000
64;104;2099.00000;322.00000;0.00000;2099.00000
78;130;1754.00000;251.00000;1754.00000;0.00000
1;8;1875.00000;193.00000;1875.00000;0.00000
11;15;947.00000;95.00000;947.00000;0.00000
87;44;707.00000;73.00000;707.00000;0.00000
1;40;1950.00000;207.00000;1950.00000;0.00000
1;9;2006.00000;212.00000;2006.00000;0.00000
99;20;2013.00000;217.00000;2013.00000;0.00000
308;8;1959.00000;201.00000;0.00000;1959.00000
58;80;1756.00000;221.00000;1756.00000;0.00000
97;168;2165.00000;373.00000;0.00000;2165.00000
1;70;2174.00000;270.00000;0.00000;2174.00000
