resultado;entrada;computacao;entrada_saida;usuario;sistema
1;1714824;237216.00000;238644.00000;229175.00000;8041.00000
212;5242764;847093.00000;846733.00000;823119.00000;23974.00000
1;8590214;1370253.00000;1371119.00000;1330304.00000;39949.00000
1;7371362;1229226.00000;1228837.00000;1201199.00000;28027.00000
1;47866156;10149418.00000;10149489.00000;9909385.00000;240033.00000
1;60274214;12817386.00000;12827540.00000;12425344.00000;392042.00000
1;42412500;8471118.00000;8474480.00000;8227259.00000;243859.00000
1;21209580;9457570.00000;11282503.00000;4803974.00000;4653596.00000
1;7635966;1262743.00000;1267248.00000;1238843.00000;23900.00000
5;633399;99172.00000;98856.00000;95206.00000;3966.00000
402;39843370;8078407.00000;8078336.00000;7878447.00000;199960.00000
1;36475824;8150018.00000;8150068.00000;7957971.00000;192047.00000
97;13951640;2090834.00000;2090451.00000;2054855.00000;35979.00000
362;1903657;282786.00000;282329.00000;278804.00000;3982.00000
1;30030529;6848630.00000;6848677.00000;6720619.00000;128011.00000
83;17719940;2615212.00000;2614878.00000;2539235.00000;75977.00000
268;5901247;922273.00000;921859.00000;890194.00000;32079.00000
1;53791685;8365871.00000;8365738.00000;8169921.00000;195950.00000
239;59850078;11736194.00000;11736268.00000;11492274.00000;243920.00000
3;11746764;1772039.00000;1771678.00000;1736039.00000;36000.00000
1;8520480;1292447.00000;1292223.00000;1280443.00000;12004.00000
1;37829847;5738030.00000;5739054.00000;5634066.00000;103964.00000
1;631351;92797.00000;92365.00000;88763.00000;4034.00000
142;6205248;924240.00000;923857.00000;892232.00000;32008.00000
73;808035;116509.00000;116090.00000;112492.00000;4017.00000
29;6700194;990021.00000;989612.00000;973989.00000;16032.00000
1;26402784;3898258.00000;3897934.00000;3798303.00000;99955.00000
1;7285740;1090978.00000;1090611.00000;1067001.00000;23977.00000
107;42011424;8826733.00000;8826692.00000;8642676.00000;184057.00000
16;54687787;11035697.00000;11035823.00000;10755705.00000;279992.00000
1;32003960;6638173.00000;6637930.00000;6550145.00000;88028.00000
6;5768412;849026.00000;848632.00000;824997.00000;24029.00000
1;17337360;2575955.00000;2575600.00000;2519956.00000;55999.00000
99;19821120;3061957.00000;3061648.00000;3005995.00000;55962.00000
46;1408216;198305.00000;197858.00000;190373.00000;7932.00000
1;2684440;408681.00000;408279.00000;392655.00000;16026.00000
1;1305286;194531.00000;194129.00000;194531.00000;0.00000
278;11559754;1785099.00000;1784719.00000;1757082.00000;28017.00000
1;28154355;4818403.00000;4818126.00000;4742429.00000;75974.00000
96;14537394;2238086.00000;2237748.00000;2198049.00000;40037.00000
53;60909354;12034675.00000;12034900.00000;11782703.00000;251972.00000
1;23622884;3519391.00000;3519210.00000;3451403.00000;67988.00000
108;22449192;3414603.00000;3416660.00000;3322641.00000;91962.00000
1;5975996;904373.00000;903802.00000;872501.00000;31872.00000
