resultado;entrada;computacao;entrada_saida;usuario;Sistema
169;1500;2964.000;1236.000;2964.000;0.000
121;6336;1448.000;1052.000;1448.000;0.000
1;104;496.000;62.000;496.000;0.000
73;1826;732.000;333.000;732.000;0.000
10;1024;607.000;207.000;607.000;0.000
219;1050;1210.000;455.000;1210.000;0.000
1;4095;4578.000;3013.000;2289.000;2289.000
1;304;2230.000;567.000;2230.000;0.000
214;1428;2674.000;1123.000;0.000;2674.000
1;2268;3719.000;1958.000;3719.000;0.000
1;1887;3464.000;1703.000;0.000;3464.000
35;990;2486.000;841.000;0.000;2486.000
210;192;1803.000;327.000;1803.000;0.000
1;7238;6751.000;5037.000;6751.000;0.000
273;3840;4237.000;2742.000;4237.000;0.000
70;375;2621.000;617.000;0.000;2621.000
1;624;2047.000;577.000;2047.000;0.000
1;4042;5042.000;3315.000;5042.000;0.000
77;868;2221.000;735.000;2221.000;0.000
1;3009;4469.000;2742.000;4469.000;0.000
1;4650;4822.000;3239.000;0.000;4822.000
44;2322;3754.000;2059.000;3754.000;0.000
96;435;2609.000;725.000;2609.000;0.000
287;9100;1881.000;1479.000;1881.000;0.000
72;6650;6330.000;4783.000;3165.000;3165.000
157;3312;4626.000;2753.000;0.000;4626.000
8;216;2447.000;468.000;2447.000;0.000
1;5100;1258.000;867.000;1258.000;0.000
1;1638;729.000;307.000;729.000;0.000
235;4482;1249.000;778.000;1249.000;0.000
1;6660;1520.000;1096.000;0.000;1520.000
211;180;1905.000;341.000;1905.000;0.000
153;560;1724.000;475.000;0.000;1724.000
259;468;735.000;160.000;735.000;0.000
1;96;1195.000;150.000;1195.000;0.000
110;3731;2271.000;1445.000;2271.000;0.000
1;1428;3132.000;1346.000;3132.000;0.000
1;264;1775.000;320.000;0.000;1775.000
1;2016;3129.000;1649.000;3129.000;0.000
70;650;2079.000;632.000;2079.000;0.000
200;5600;5446.000;3894.000;5446.000;0.000
8;5152;5180.000;3696.000;5180.000;0.000
112;1534;3202.000;1396.000;0.000;3202.000
2;148;2213.000;360.000;2213.000;0.000
174;2720;4083.000;2060.000;0.000;4083.000
77;3536;4665.000;2897.000;4665.000;0.000
1;3111;1059.000;620.000;1059.000;0.000
1;3445;4802.000;2807.000;4802.000;0.000
2;1056;2379.000;876.000;0.000;2379.000
26;8366;7268.000;5780.000;7268.000;0.000
1;3542;4756.000;2930.000;2378.000;2378.000
1;7742;2376.000;1842.000;2376.000;0.000
1;396;610.000;132.000;610.000;0.000
1;4144;5273.000;3529.000;5273.000;0.000
222;1095;2429.000;891.000;0.000;2429.000
61;1216;948.000;344.000;948.000;0.000
248;962;2494.000;794.000;2494.000;0.000
138;1110;2446.000;931.000;2446.000;0.000
227;1040;2471.000;870.000;2471.000;0.000
23;624;2190.000;631.000;0.000;2190.000
1;6080;5766.000;4267.000;2883.000;2883.000
18;2520;1108.000;650.000;1108.000;0.000
324;48;459.000;51.000;459.000;0.000
1;4264;1130.000;720.000;1130.000;0.000
433;5846;1411.000;974.000;1411.000;0.000
112;2208;1006.000;431.000;1006.000;0.000
204;4410;4805.000;3061.000;0.000;4805.000
1;3000;3586.000;2130.000;3586.000;0.000
101;216;1881.000;343.000;1881.000;0.000
1;2695;3978.000;2253.000;0.000;3978.000
1;420;2331.000;574.000;0.000;2331.000
1;1425;2697.000;1173.000;2697.000;0.000
426;45;2037.000;262.000;2037.000;0.000
121;1120;2466.000;927.000;0.000;2466.000
117;5632;2236.000;1617.000;0.000;2236.000
1;2254;3675.000;1984.000;3675.000;0.000
57;420;1991.000;488.000;1991.000;0.000
173;891;3181.000;1129.000;0.000;3181.000
1;1710;2825.000;1288.000;0.000;2825.000
1;1260;2949.000;1170.000;0.000;2949.000
1;1888;2969.000;1433.000;0.000;2969.000
245;1245;2913.000;1137.000;0.000;2913.000
24;3300;4452.000;2676.000;4452.000;0.000
166;5148;6188.000;4228.000;3094.000;3094.000
184;1064;2879.000;1143.000;2879.000;0.000
1;1932;3448.000;1718.000;3448.000;0.000
241;30;467.000;46.000;467.000;0.000
11;3465;4726.000;2884.000;4726.000;0.000
138;2604;3985.000;2174.000;0.000;3985.000
1;943;774.000;260.000;774.000;0.000
1;3040;3708.000;2166.000;0.000;3708.000
1;4293;4584.000;3099.000;4584.000;0.000
157;4758;5786.000;3942.000;2893.000;2893.000
21;1290;2921.000;1203.000;2921.000;0.000
164;2451;3841.000;2042.000;0.000;3841.000
1;124;2075.000;288.000;0.000;2075.000
307;144;1796.000;262.000;1796.000;0.000
1;1230;2879.000;1163.000;2879.000;0.000
1;8439;7271.000;5714.000;7271.000;0.000
1;2279;3732.000;1925.000;0.000;3732.000
1;1551;3152.000;1379.000;0.000;3152.000
632;72;2026.000;238.000;0.000;2026.000
1;472;2015.000;482.000;2015.000;0.000
241;1410;3066.000;1262.000;0.000;3066.000
261;6072;5792.000;4226.000;5792.000;0.000
235;1056;2469.000;905.000;0.000;2469.000
232;1280;2788.000;1103.000;0.000;2788.000
150;3960;4934.000;3194.000;0.000;4934.000
301;675;3110.000;914.000;0.000;3110.000
1;4592;5075.000;3408.000;5075.000;0.000
80;6142;1444.000;1020.000;1444.000;0.000
252;1767;3000.000;1456.000;3000.000;0.000
1;6225;1441.000;1031.000;0.000;1441.000
1;1485;2727.000;1192.000;0.000;2727.000
1;4588;5433.000;3717.000;5433.000;0.000
82;2244;3761.000;1926.000;3761.000;0.000
1;80;2027.000;286.000;2027.000;0.000
1;1386;3062.000;1270.000;3062.000;0.000
1;920;2652.000;927.000;2652.000;0.000
64;1701;2850.000;1358.000;0.000;2850.000
225;6699;6030.000;4209.000;3015.000;3015.000
