resultado;entrada;computacao;entrada_saida;usuario;sistema
1;896809;158582.00000;158027.00000;150653.00000;7929.00000
200;504100;83518.00000;83126.00000;79541.00000;3977.00000
198;753424;124881.00000;124472.00000;120979.00000;3902.00000
1;853776;147448.00000;147050.00000;139478.00000;7970.00000
208;958441;164525.00000;164130.00000;160513.00000;4012.00000
1;625;554.00000;142.00000;554.00000;0.00000
1;252004;39351.00000;38927.00000;31481.00000;7870.00000
1;125316;20917.00000;20523.00000;17431.00000;3486.00000
1;14884;11961.00000;10401.00000;7974.00000;3987.00000
211;491401;81710.00000;81337.00000;81710.00000;0.00000
322;219024;36344.00000;35893.00000;36344.00000;0.00000
1;265225;42804.00000;42392.00000;38913.00000;3891.00000
123;13456;10957.00000;9250.00000;7305.00000;3652.00000
1;10404;8874.00000;7355.00000;8874.00000;0.00000
1;527076;90732.00000;90313.00000;90732.00000;0.00000
1;11881;9676.00000;8020.00000;9676.00000;0.00000
1;98596;16607.00000;16198.00000;13286.00000;3321.00000
1;128164;26118.00000;25430.00000;26118.00000;0.00000
1;94864;24210.00000;23434.00000;24210.00000;0.00000
1;624100;101802.00000;101406.00000;97887.00000;3915.00000
187;758641;127173.00000;126771.00000;127173.00000;0.00000
1;9604;8456.00000;6774.00000;4228.00000;4228.00000
1;654481;108855.00000;108378.00000;104824.00000;4031.00000
1;41616;32613.00000;30895.00000;28537.00000;4076.00000
246;252004;41196.00000;40800.00000;41196.00000;0.00000
1;4900;5042.00000;3528.00000;5042.00000;0.00000
1;393129;64445.00000;64038.00000;60418.00000;4027.00000
200;874225;147488.00000;147098.00000;139516.00000;7972.00000
1;703921;116727.00000;116337.00000;116727.00000;0.00000
100;356409;57592.00000;57171.00000;57592.00000;0.00000
144;41209;20403.00000;18831.00000;20403.00000;0.00000
1;375769;61778.00000;61369.00000;57660.00000;4118.00000
200;4;1710.00000;167.00000;1710.00000;0.00000
1;363609;59889.00000;59492.00000;59889.00000;0.00000
1;53824;22778.00000;21235.00000;18982.00000;3796.00000
35;933156;159944.00000;159534.00000;151947.00000;7997.00000
81;579121;96970.00000;96570.00000;96970.00000;0.00000
1;159201;28123.00000;27419.00000;28123.00000;0.00000
65;303601;50187.00000;49766.00000;46327.00000;3860.00000
106;409600;67278.00000;66858.00000;67278.00000;0.00000
1;106929;25600.00000;24734.00000;25600.00000;0.00000
212;667489;110621.00000;110217.00000;110621.00000;0.00000
1;276676;45597.00000;45213.00000;45597.00000;0.00000
45;112896;27477.00000;26689.00000;27477.00000;0.00000
1;703921;117436.00000;117023.00000;109607.00000;7829.00000
1;47524;34311.00000;32689.00000;30499.00000;3812.00000
104;59536;33411.00000;31822.00000;33411.00000;0.00000
112;912025;153827.00000;153404.00000;149779.00000;4048.00000
119;902500;153607.00000;153211.00000;149669.00000;3938.00000
110;1000000;169252.00000;168919.00000;169252.00000;0.00000
20;516961;85626.00000;85203.00000;85626.00000;0.00000
1;156816;25296.00000;24859.00000;25296.00000;0.00000
1;940900;158962.00000;158535.00000;154988.00000;3974.00000
218;499849;82233.00000;81837.00000;82233.00000;0.00000
5;736164;122587.00000;122188.00000;122587.00000;0.00000
1;5476;6151.00000;4218.00000;6151.00000;0.00000
1;5776;5696.00000;4236.00000;2848.00000;2848.00000
1;91809;21249.00000;20506.00000;21249.00000;0.00000
1;902500;151704.00000;151316.00000;143720.00000;7984.00000
126;101761;21045.00000;20446.00000;21045.00000;0.00000
1;902500;154575.00000;153961.00000;146649.00000;7926.00000
115;751689;123561.00000;123102.00000;119576.00000;3985.00000
92;9025;7936.00000;6337.00000;7936.00000;0.00000
207;194481;32652.00000;32219.00000;28571.00000;4081.00000
1;385641;63401.00000;62868.00000;59439.00000;3962.00000
10;380689;62454.00000;62066.00000;62454.00000;0.00000
67;75076;31725.00000;30690.00000;31725.00000;0.00000
168;161604;26182.00000;25773.00000;26182.00000;0.00000
1;570025;94186.00000;93721.00000;94186.00000;0.00000
48;364816;60171.00000;59745.00000;60171.00000;0.00000
1;112896;18673.00000;18281.00000;14005.00000;4668.00000
1;30276;21714.00000;20169.00000;18095.00000;3619.00000
12;974169;166740.00000;166361.00000;154830.00000;11910.00000
223;8649;7484.00000;5872.00000;3742.00000;3742.00000
198;2209;3214.00000;1698.00000;3214.00000;0.00000
217;481636;78961.00000;78552.00000;71065.00000;7896.00000
1;164025;26840.00000;26434.00000;26840.00000;0.00000
160;94864;15982.00000;15495.00000;15982.00000;0.00000
156;792100;130210.00000;129770.00000;126265.00000;3945.00000
47;115600;26041.00000;25639.00000;26041.00000;0.00000
147;804609;134228.00000;133792.00000;130281.00000;3947.00000
127;82944;23404.00000;22608.00000;23404.00000;0.00000
170;294849;47981.00000;47548.00000;47981.00000;0.00000
19;202500;33697.00000;33301.00000;29953.00000;3744.00000
1;64516;33674.00000;32097.00000;33674.00000;0.00000
55;739600;124916.00000;124485.00000;120887.00000;4029.00000
235;448900;74745.00000;74290.00000;70593.00000;4152.00000
334;516961;88339.00000;87932.00000;88339.00000;0.00000
